lens_random_index,lens_mass,lens_class,lens_ra_ref,lens_dec_ref,lens_pmrac,lens_pmdec,lens_parallax,lens_dist,lens_will_escape,lens_G,source_id,source_ra_ref,source_dec_ref,source_pmrac,source_pmdec,source_parallax,source_G,min_approach,thetaE,u_min,t0_est_sim,phot_flag,ast_flag
15.0,0.1190155744552612,Star,272.2721987974021,-26.65392228059504,0.933181942623288,5.093574103521267,0.1716516986608527,5.825750678854552,False,26.862371986365844,4.0645885831371817e+18,272.2767642633006,-26.6460684261174,-4.7888274,-5.9201555,0.1279179,20.151243,0.1477895112405385,0.2058872162676506,0.7178178126825228,4582.96672122204,True,False
1991.0,0.3330739736557007,Star,265.69020498971804,-24.685920540432996,0.5685490115823874,-8.866238645041534,0.15280374177694,6.544342359493922,False,23.298224753129738,4.0682040866069545e+18,265.6923623413601,-24.68575828234217,-5.5042233,-9.366247,0.106268644,18.676956,3.093273144323174,0.3552871882832857,8.70640216234528,3177.711220221858,False,False
2792.0,0.2375247478485107,Star,271.31239686974965,-28.18446980780604,2.362853618422871,-6.89521150221075,0.1140056500157635,8.771495095740692,False,24.736577282373567,4.062840668886663e+18,271.3087952702865,-28.18448775956794,-4.1727643,-6.9316034,0.08952562,20.286425,0.9901685529941512,0.2176102201651554,4.550193241120119,267.1820330969267,False,False
13553.0,0.7762779593467712,Star,262.6978307396781,-31.560276142629977,-4.826646769938387,-0.7924645064963827,0.1149580602773841,8.698824576433214,False,21.058443659112783,4.057922656454836e+18,262.69735396364933,-31.558326089032,-3.610321,-6.615123,0.08413027,20.300817,3.858369014402294,0.4414674705297914,8.73987161448608,3221.7192216766684,False,False
3743.0,0.0856570750474929,Star,267.69054815527016,-35.25013094936872,-9.07962574314827,-7.852531001107194,0.1648640401252417,6.065604113791783,False,29.038568895279955,4.0407042700041257e+18,267.6930539781784,-35.24974078464204,-2.2366319,-6.5493712,0.12194876,19.516434,1.6486844142308277,0.1730240520399104,9.52864295335388,939.3042371340244,False,False
4000.0,0.3422929048538208,Star,271.33046354165054,-28.88133607851065,-0.3526132478046727,-6.507471004346347,0.1762680843323286,5.673176762474148,False,23.60124710144419,4.050417596242068e+18,271.3312671532826,-28.877408764836613,0.868269,0.30471265,0.12960193,18.664267,0.6457602321189665,0.3606773229158198,1.7904098513830975,-59.87743226041096,True,False
4276.0,0.1165555790066719,Star,260.7370610101511,-31.6984183985593,-3.0200779768329524,-2.976747374617422,0.1095215375953684,9.130624185487047,False,27.91582999079944,4.058046523311653e+18,260.73854443984953,-31.695294283302093,-5.188255,-8.343709,0.09828504,18.322678,0.1296899619985018,0.1032763539222206,1.2557565897046838,4111.881069285325,True,False
4508.0,0.134282037615776,Star,271.46348057393004,-30.70007253667418,-3.043626375499261,-2.912907730408122,0.1832802291486765,5.4561258715406895,False,25.65372836765315,4.049920273388929e+18,271.46171322719823,-30.703868560735778,-8.223515,-15.854649,0.12175427,19.310808,1.032702538342527,0.2593922762403347,3.981238583163121,960.3080560101836,False,False
4689.0,0.0860291197896003,Star,264.84014455241385,-27.37429066990592,-5.917405554654375,-6.1570363472150085,0.1228343701544053,8.141043901173422,False,29.623166433911013,4.0609200282313687e+18,264.84182223477245,-27.37447333287185,-3.4106565,-6.4647446,0.095486514,19.78579,0.7714230997432213,0.1384214090080525,5.573004243139473,-123.88907074013456,False,False
15352.0,0.1187858507037162,Star,273.36144300867045,-30.385657071189435,-0.7342177589946323,-11.35629199136002,0.165660812377029,6.036430617786001,False,26.936816042210047,4.0495998688286474e+18,273.35950883060787,-30.39123070902499,2.166794,-1.6679875,0.14032319,20.613224,1.5191929586132067,0.1565612096883382,9.703508050540869,4086.876523004182,False,False
16522.0,0.3217325806617737,Star,266.0396681523967,-26.043867173267984,-5.8835589742835825,-12.797133727136186,0.1285702008129063,7.777852050298863,False,24.29196619294649,4.0671088699464745e+18,266.04132133637114,-26.038401380593005,-3.808703,-5.16018,0.06277789,19.830544,1.109066299794243,0.4151967772953691,2.6711823415846463,-560.9685397344972,False,False
6520.0,0.2996751368045807,Star,264.88493748122954,-37.25549060882961,0.8347621025984191,-0.7081994495802223,0.1611176912252149,6.206643059464969,False,24.009788129884377,5.962424199040467e+18,264.88881728885576,-37.251690031874176,-5.453571,-8.44567,0.09865171,18.03682,1.8827542938718227,0.3904505345955723,4.822004651170411,3783.821422076742,False,False
6522.0,0.0938011556863784,Star,268.8689886450736,-28.6196957723785,-3.0863662919142323,-2.9569287019783226,0.1425743880680197,7.013882461995329,False,28.41692180661491,4.062620182445556e+18,268.86730209417084,-28.616170564073872,-0.7277459,-8.571341,0.10714546,17.962217,1.5250075657190154,0.1645136671930935,9.26979254513291,4275.910892889617,False,False
17322.0,0.6484072208404541,Star,263.8125910341185,-29.230402502534904,-6.503274261853728,-4.897227064952514,0.1369327416757618,7.302855312485192,False,21.84087764742176,4.060090927744549e+18,263.8120498321282,-29.23005375044905,-3.713356,-6.9585457,0.10784161,20.02419,0.550066172851703,0.3919431799444622,1.403433459231633,2625.6108383342425,True,False
7164.0,0.0939670428633689,Star,269.030456762961,-21.791053062943806,0.7417353822234467,-5.185300129717389,0.1718474979420101,5.819112945929824,False,27.998456265521217,4.070370021434458e+18,269.03057878404934,-21.793173709006613,0.52739716,-1.1598243,0.14377071,20.298008,1.4060292138714252,0.1465819089863632,9.592106035419627,3912.8448808874346,False,False
17481.0,0.384687066078186,Star,251.70452516900147,-53.1831511115677,-4.304873517600843,-2.3229324020817788,0.2182898286680402,4.581065485743403,False,22.72166952842587,5.930831141165597e+18,251.7044078158782,-53.184096107751195,-4.6098375,-6.468256,0.10177433,19.550802,2.852150349797997,0.6041774668507893,4.7207161906658435,1195.3507910529188,False,False
17982.0,0.6861353516578674,Star,261.4304310291494,-25.902808794819432,-0.174524548950056,0.5119082526625696,0.1456393111114809,6.866278014969057,False,21.56807257352449,4.10986726224298e+18,261.4297960601178,-25.90106669925492,1.0984823,-3.374657,0.12760574,20.190508,1.9516508436393472,0.3174421916259416,6.148051188920335,3629.793416984907,False,False
18114.0,0.0723935663700103,Star,268.9898926462711,-28.54107937567511,-6.813450625462665,0.821781990087509,0.1827555127212809,5.47179116574772,False,32.816009206632806,4.0626260579608166e+18,268.98841744763433,-28.538875968611855,-3.75362,-4.378664,0.073211275,19.286396,1.495628122336988,0.2541345062555407,5.885183182613871,3540.7772322240407,False,False
8518.0,0.1999864131212234,Star,296.6071342954773,30.90280356013206,-2.388154625952104,-4.777311879685471,0.143018070370709,6.992123424738964,False,24.42076352969572,2.0322204696707072e+18,296.60715646740897,30.902851072533753,-1.7968495,-3.213747,0.06562126,20.221376,3.5138523653021907,0.3550427589115058,9.896983608608156,1905.479905437352,False,False
19033.0,0.0861433818936348,Star,272.20946876300593,-24.99576032599018,3.2748307019785567,-6.669486441434218,0.1728712570499098,5.784651636514039,False,28.864414273613477,4.065778701395034e+18,272.2156514385862,-24.99401393990583,-4.775515,-9.177703,0.10010388,20.563751,1.6739746455466196,0.2259426414596315,7.408847815235017,4521.955628296054,False,False
9146.0,0.2944450080394745,Star,272.47274720769326,-27.788561760054353,-4.47877813119213,-8.579287154387092,0.1102631551630753,9.069212635182035,False,24.76073358728818,4.050947526486917e+18,272.47338367323675,-27.787777100486625,-6.9712825,-12.054375,0.10598915,20.387106,0.7837031785609305,0.1012368215749707,7.7412858915227885,2828.647754137116,False,False
19667.0,0.1016774252057075,Star,254.87758996119888,-36.39033497912328,-0.0934441971914412,-0.4197663399367446,0.1611260614406688,6.2063206352761755,False,27.59526566114641,5.977464281157861e+18,254.87681382552617,-36.391325738401704,-2.9717221,-4.9845996,0.12079485,20.049873,0.205750453725993,0.1827476437481814,1.125871992141844,1234.3578832515002,True,False
9609.0,0.6593180894851685,Star,271.923320437717,-27.6646206540088,2.8987844587874805,-3.1703290532367214,0.3048156232195214,3.2806717366971125,False,19.882084185146788,4.0629701020210954e+18,271.92212629261695,-27.665731857859416,1.0716747,-5.093856,0.11820737,20.206877,5.449443168042352,1.0009947553939205,5.444027692130953,-65.87852336788501,False,False
9740.0,0.0852167084813118,Star,259.30050271603136,-25.66298024570371,-5.673881459056101,0.0730936519255784,0.1408264789441073,7.100937320153338,False,29.44507825316964,4.1092373795192177e+18,259.2990681908313,-25.65993840142449,-3.0204546,-6.168351,0.11187516,17.841408,0.5580628718927183,0.1417475095097883,3.937020649058962,3770.819058010547,False,False
30128.0,0.1349156945943832,Star,271.47767682647753,-34.277737807868476,-4.954624712459382,-1.252766850282986,0.1460941783774879,6.844899715415991,False,26.638186087216972,4.039540058989003e+18,271.47743591943345,-34.27933214027527,-5.260242,-3.6962793,0.112131625,19.922806,1.2073811659433622,0.1931747177194117,6.250202822592425,-332.9270776504819,False,False
